Experiment,Min latency (s),Average Latency (s),Standard Deviation (s)
output-opus-v5-no-controller-b16-nflag,10.147,10.1775,0.01784890286077376
output-opus-v3-l_0-b16-baseline-nflag,10.349,10.4415,0.11159562416749767
output-opus-v3-l_10-b16-baseline-nflag,10.345,10.460666666666667,0.06172159715655049
output-opus-v3-l_50-b16-baseline-nflag,10.632,10.6815,0.05902471233870339
output-opus-v3-l_100-b16-baseline-nflag,10.867,10.904333333333334,0.032815985264637165
output-opus-v3-l_250-b16-baseline-nflag,11.72,11.884333333333332,0.1452660394662914
output-opus-v3-l_500-b16-baseline-nflag,13.018,13.107833333333334,0.11652527146026666
output-opus-v3-l_750-b16-baseline-nflag,14.111,14.156500000000003,0.03152115691616266
output-opus-v3-l_1000-b16-baseline-nflag,15.285,15.400833333333333,0.087153918761898
output-opus-v3-l_2000-b16-baseline-nflag,21.186,21.22683333333333,0.03053094968861693
output-opus-v3-l_3000-b16-baseline-nflag,27.238,27.3225,0.07742899973524119
