Experiment,Min latency (s),Average Latency (s),Standard Deviation (s)
output-opus-v5-no-controller-b16-nflag,10.147,10.1775,0.01784890286077376
output-opus-v5-l_0-b16-provision-nflag,10.129,10.222,0.06192468543857692
output-opus-v5-l_10-b16-provision-nflag,10.224,10.370500000000002,0.0831720105163591
output-opus-v5-l_50-b16-provision-nflag,10.22,10.320333333333332,0.06500940102956025
output-opus-v5-l_100-b16-provision-nflag,10.553,10.614166666666668,0.055089069292877914
output-opus-v5-l_250-b16-provision-nflag,11.247,11.269166666666665,0.01924765497982075
output-opus-v5-l_500-b16-provision-nflag,12.436,12.556999999999997,0.0993747117396236
output-opus-v5-l_750-b16-provision-nflag,13.887,13.953833333333336,0.05369797223566482
output-opus-v5-l_1000-b16-provision-nflag,15.072,15.121499999999997,0.035481215687553525
output-opus-v5-l_2000-b16-provision-nflag,20.283,20.346500000000002,0.03252563091881004
output-opus-v5-l_3000-b16-provision-nflag,26.387,26.434833333333334,0.04461097274089591
