id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
transformer.0.input_norm.x@0,N,in_emb.y@0,,I,,"Batch/dp,Seq/(cp*tp),Dmodel",1,,,,
transformer.0.input_norm.y@0,N,transformer.0.input_norm.x@0,,E,5.0,"Batch/dp,Seq/(cp*tp),Dmodel",1,,,,
transformer.0.input_norm.dy@0,N,transformer.0.mha.dx@0,transformer.0.mha_res.dx2@0,A,,"Batch/dp,Seq/(cp*tp),Dmodel",1,"Batch/dp,Seq/(cp*tp),Dmodel",1,transformer.0.input_norm.y@0,
transformer.0.input_norm.dx@0,N,transformer.0.input_norm.dy@0,,E,5.0,"Batch/dp,Seq/(cp*tp),Dmodel",1,,,transformer.0.input_norm.x@0,
transformer.0.mha.x@0,N,transformer.0.input_norm.y@0,,I,,"Batch/dp,Seq/(cp*tp),Dmodel",1,,,,
transformer.0.mha.wqkv@0,N,transformer.0._assembled_weight@0,,CUSTOM,0,2*Dff*Dmodel/tp + 4*Dmodel**2/tp,1,"Dmodel,Dmodel/Head,3*Head/tp",1,,
transformer.0.mha.qkv@0,N,transformer.0.mha.x@0,transformer.0.mha.wqkv@0,M,"bsm,mnh->bsnh","Batch/dp,Seq/cp,Dmodel",1,"Dmodel,Dmodel/Head,3*Head/tp",1.00000000000000,,
transformer.0.mha.q@0,N,transformer.0.mha.qkv@0,,SLICE,3:Head/tp,"Batch/dp,Seq/cp,Dmodel/Head,3*Head/tp",1,,,,
transformer.0.mha.k@0,N,transformer.0.mha.qkv@0,,SLICE,3:Head/tp,"Batch/dp,Seq/cp,Dmodel/Head,3*Head/tp",1,,,,
transformer.0.mha.v@0,N,transformer.0.mha.qkv@0,,SLICE,3:Head/tp,"Batch/dp,Seq/cp,Dmodel/Head,3*Head/tp",1,,,,
transformer.0.mha.attn@0,N,transformer.0.mha.attn_kernel.qkv@0,,I,,"Batch/dp,Seq/cp,Dmodel/Head,Head/tp",1,,,,
