source,source_label,ep_size,latency_label,stat,eps_baseline_ms,opus_same_ms,opus_diverge_ms,best_opus_variant,best_opus_ms,eps_speedup_vs_opus_same,eps_speedup_vs_opus_diverge,eps_speedup_vs_best_opus,eps_slowdown_vs_opus_same,eps_slowdown_vs_opus_diverge,eps_slowdown_vs_best_opus
original,EP + TP + DP,1,500us,max,53225.410,73658.012,73658.012,opus_same,73658.012,1.3839,1.3839,1.3839,0.7226,0.7226,0.7226
original,EP + TP + DP,2,500us,max,26684.250,35405.385,35405.385,opus_same,35405.385,1.3268,1.3268,1.3268,0.7537,0.7537,0.7537
original,EP + TP + DP,4,500us,max,13410.056,18080.449,18080.449,opus_same,18080.449,1.3483,1.3483,1.3483,0.7417,0.7417,0.7417
original,EP + TP + DP,8,500us,max,6772.994,9168.644,9168.644,opus_same,9168.644,1.3537,1.3537,1.3537,0.7387,0.7387,0.7387
original,EP + TP + DP,16,500us,max,3457.859,5164.250,5166.423,opus_same,5164.250,1.4935,1.4941,1.4935,0.6696,0.6693,0.6696
original,EP + TP + DP,32,500us,max,1796.896,5136.490,4471.932,opus_diverge,4471.932,2.8585,2.4887,2.4887,0.3498,0.4018,0.4018
original,EP + TP + DP,64,500us,max,966.414,2575.959,2298.780,opus_diverge,2298.780,2.6655,2.3787,2.3787,0.3752,0.4204,0.4204
original,EP + TP + DP,1,1ms,max,53225.410,73677.012,73677.012,opus_same,73677.012,1.3842,1.3842,1.3842,0.7224,0.7224,0.7224
original,EP + TP + DP,2,1ms,max,26684.250,35424.390,35424.390,opus_same,35424.390,1.3275,1.3275,1.3275,0.7533,0.7533,0.7533
original,EP + TP + DP,4,1ms,max,13410.056,18098.959,18098.959,opus_same,18098.959,1.3497,1.3497,1.3497,0.7409,0.7409,0.7409
original,EP + TP + DP,8,1ms,max,6772.994,9186.654,9186.654,opus_same,9186.654,1.3564,1.3564,1.3564,0.7373,0.7373,0.7373
original,EP + TP + DP,16,1ms,max,3457.859,5191.623,5194.016,opus_same,5191.623,1.5014,1.5021,1.5014,0.6660,0.6657,0.6660
original,EP + TP + DP,32,1ms,max,1796.896,4983.436,4637.350,opus_diverge,4637.350,2.7734,2.5808,2.5808,0.3606,0.3875,0.3875
original,EP + TP + DP,64,1ms,max,966.414,2628.770,2663.969,opus_same,2628.770,2.7201,2.7566,2.7201,0.3676,0.3628,0.3676
original,EP + TP + DP,1,10ms,max,53225.410,74019.012,74019.012,opus_same,74019.012,1.3907,1.3907,1.3907,0.7191,0.7191,0.7191
original,EP + TP + DP,2,10ms,max,26684.250,35803.467,35803.467,opus_same,35803.467,1.3417,1.3417,1.3417,0.7453,0.7453,0.7453
original,EP + TP + DP,4,10ms,max,13410.056,18475.941,18475.941,opus_same,18475.941,1.3778,1.3778,1.3778,0.7258,0.7258,0.7258
original,EP + TP + DP,8,10ms,max,6772.994,9563.543,9563.543,opus_same,9563.543,1.4120,1.4120,1.4120,0.7082,0.7082,0.7082
original,EP + TP + DP,16,10ms,max,3457.859,5724.433,5716.039,opus_diverge,5716.039,1.6555,1.6531,1.6531,0.6041,0.6049,0.6049
original,EP + TP + DP,32,10ms,max,1796.896,5902.340,6175.951,opus_same,5902.340,3.2847,3.4370,3.2847,0.3044,0.2910,0.3044
original,EP + TP + DP,64,10ms,max,966.414,3681.109,4115.018,opus_same,3681.109,3.8090,4.2580,3.8090,0.2625,0.2349,0.2625
scaleout,EP + DP,1,500us,max,53225.410,73658.012,73658.012,opus_same,73658.012,1.3839,1.3839,1.3839,0.7226,0.7226,0.7226
scaleout,EP + DP,2,500us,max,26711.486,104062.931,103925.437,opus_diverge,103925.437,3.8958,3.8907,3.8907,0.2567,0.2570,0.2570
scaleout,EP + DP,4,500us,max,13423.681,43795.231,48229.707,opus_same,43795.231,3.2625,3.5929,3.2625,0.3065,0.2783,0.3065
scaleout,EP + DP,8,500us,max,6779.813,20343.972,23122.387,opus_same,20343.972,3.0007,3.4105,3.0007,0.3333,0.2932,0.3333
scaleout,EP + DP,1,1ms,max,53225.410,73677.012,73677.012,opus_same,73677.012,1.3842,1.3842,1.3842,0.7224,0.7224,0.7224
scaleout,EP + DP,2,1ms,max,26711.486,103995.901,104028.937,opus_same,103995.901,3.8933,3.8945,3.8933,0.2569,0.2568,0.2569
scaleout,EP + DP,4,1ms,max,13423.681,43636.613,48283.496,opus_same,43636.613,3.2507,3.5969,3.2507,0.3076,0.2780,0.3076
scaleout,EP + DP,8,1ms,max,6779.813,19341.730,23143.234,opus_same,19341.730,2.8528,3.4136,2.8528,0.3505,0.2930,0.3505
scaleout,EP + DP,1,10ms,max,53225.410,74019.012,74019.012,opus_same,74019.012,1.3907,1.3907,1.3907,0.7191,0.7191,0.7191
scaleout,EP + DP,2,10ms,max,26711.486,105780.822,106043.329,opus_same,105780.822,3.9601,3.9700,3.9601,0.2525,0.2519,0.2525
scaleout,EP + DP,4,10ms,max,13423.681,45192.099,45811.930,opus_same,45192.099,3.3666,3.4128,3.3666,0.2970,0.2930,0.2970
scaleout,EP + DP,8,10ms,max,6779.813,23557.927,24459.686,opus_same,23557.927,3.4747,3.6077,3.4747,0.2878,0.2772,0.2878
