source,source_label,scenario,total_gpus,gpus_per_node,pp,microbatches,ep_size,variant,latency_label,reconfig_time_ns,wall_min_ns,wall_max_ns,wall_avg_ns,status,output_path
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,1,eps_baseline,none,0,31393402008,53225410030,42309679706,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_001/eps_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,2,eps_baseline,none,0,15760852352,26684249538,21222824632,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_002/eps_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,4,eps_baseline,none,0,7941738512,13410056298,10676171092,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_004/eps_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,8,eps_baseline,none,0,4032207168,6772993978,5402874260,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_008/eps_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,16,eps_baseline,none,0,2080111116,3457858714,2769258602,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_016/eps_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,32,eps_baseline,none,0,1101395196,1796895634,1449419102,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_032/eps_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,64,eps_baseline,none,0,612036988,966413618,789498990,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_064/eps_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,1,eps_constrained_baseline,none,0,43588888710,73639013615,59756128326,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_001/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,2,eps_constrained_baseline,none,0,21129296409,35386378700,28676170540,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_002/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,4,eps_constrained_baseline,none,0,10922558271,18061938907,14702751033,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_004/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,8,eps_constrained_baseline,none,0,5570096222,9150634668,7466952608,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_008/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,16,eps_constrained_baseline,none,0,3266116904,5114228927,4306155024,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_016/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,32,eps_constrained_baseline,none,0,1819300998,3009927163,2476145755,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_032/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,64,eps_constrained_baseline,none,0,1230229240,1866598685,1582232801,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_064/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,1,eps_ring_baseline,none,0,54041419444,93132778624,73587857802,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_001/eps_ring_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,2,eps_ring_baseline,none,0,27173869788,46746618132,36962643352,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_002/eps_ring_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,4,eps_ring_baseline,none,0,13737255948,23549924892,18646810125,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_004/eps_ring_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,8,eps_ring_baseline,none,0,7018974604,11951612572,9488923449,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_008/eps_ring_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,16,eps_ring_baseline,none,0,3691635638,6192352172,4945828750,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_016/eps_ring_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,32,eps_ring_baseline,none,0,2042480198,3328735736,2689561261,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_032/eps_ring_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_8gpu_256,256,8,4,4,64,eps_ring_baseline,none,0,1311608446,2009993194,1664789489,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/original/ep_064/eps_ring_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,1,eps_baseline,none,0,31393402008,53225410030,42309679706,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_001/eps_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,2,eps_baseline,none,0,15782252060,26711485530,21247142482,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_002/eps_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,4,eps_baseline,none,0,7952443756,13423681154,10688336142,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_004/eps_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,8,eps_baseline,none,0,4037565180,6779813266,5408962910,ok,/home/dd687/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_008/eps_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,1,eps_constrained_baseline,none,0,43588888710,73639013615,59756128326,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_001/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,2,eps_constrained_baseline,none,0,24113892253,38688766900,32312734349,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_002/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,4,eps_constrained_baseline,none,0,12242615179,21386025464,17273491202,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_004/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,8,eps_constrained_baseline,none,0,6311681759,10913966864,8844938933,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_008/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,1,eps_ring_baseline,none,0,54041419444,93132778624,73587857802,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_001/eps_ring_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,2,eps_ring_baseline,none,0,27200557692,46779974628,36992665552,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_002/eps_ring_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_8gpu_256,256,8,4,4,4,eps_ring_baseline,none,0,13797204656,23626005323,18714903848,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_reconfig_full_bw_eps/runs/scaleout/ep_004/eps_ring_baseline/log/output_zero.txt
