source,source_label,scenario,total_gpus,gpus_per_node,pp,microbatches,ep_size,variant,latency_label,reconfig_time_ns,wall_min_ns,wall_max_ns,wall_avg_ns,status,output_path
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,1,eps_constrained_baseline,none,0,17550540604,21517575971,19534058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_001/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,2,eps_constrained_baseline,none,0,8842258124,10826671591,9834464857,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_002/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,4,eps_constrained_baseline,none,0,4487426462,5480452366,4983938944,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_004/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,8,eps_constrained_baseline,none,0,2310057052,2807394826,2558725532,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_008/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,16,eps_constrained_baseline,none,0,1221361640,1470853666,1346107340,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_016/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,32,eps_constrained_baseline,none,0,677012008,802580946,739796238,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_032/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,64,eps_constrained_baseline,none,0,454878806,531169384,493017213,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_064/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,128,eps_constrained_baseline,none,0,497921412,550567054,524243249,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_128/eps_constrained_baseline/log/output_zero.txt
original,EP + TP + DP,large_scale_ep_32gpu_512_all2allv_topk_context,512,32,2,4,256,eps_constrained_baseline,none,0,429809460,466957094,448382477,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/original/ep_256/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,1,eps_constrained_baseline,none,0,17550540604,21517575971,19534058287,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_001/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,2,eps_constrained_baseline,none,0,9070633064,11076032635,10073332849,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_002/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,4,eps_constrained_baseline,none,0,4718716468,5731996814,5225356641,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_004/eps_constrained_baseline/log/output_zero.txt
scaleout,EP + DP,large_scale_ep_scaleout_32gpu_512_all2allv_topk_context,512,32,2,4,8,eps_constrained_baseline,none,0,2540363268,3057846174,2799104721,ok,/workspace/astra-sim-opus/examples/large_scale_ep_32gpu_512_all2allv_topk_context_reconfig_full_bw_eps/runs/scaleout/ep_008/eps_constrained_baseline/log/output_zero.txt
