[0m{'rank': 0, 'backend': 0, 'index': 0, 'time': '09:10:28.331373', 'finish_time': 'n/a', 'duration_ms': 'n/a', 'coll': 'broadcast'}
[94m{'rank': 0, 'backend': 1, 'index': 0, 'time': '09:10:28.708804', 'finish_time': '09:10:33.880190', 'duration_ms': 5171.386000003666, 'coll': 'send'}
[94m{'rank': 0, 'backend': 1, 'index': 1, 'time': '09:10:33.880346', 'finish_time': '09:10:33.881372', 'duration_ms': 1.0260000079870224, 'coll': 'recv'}
[92m{'rank': 0, 'backend': 2, 'index': 0, 'time': '09:10:33.982326', 'finish_time': '09:10:39.316350', 'duration_ms': 5334.024000003934, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 1, 'time': '09:10:41.456412', 'finish_time': '09:10:41.457844', 'duration_ms': 1.431999996304512, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 2, 'time': '09:10:41.655845', 'finish_time': '09:10:41.656815', 'duration_ms': 0.9699999988079071, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 3, 'time': '09:10:41.661727', 'finish_time': '09:10:41.669640', 'duration_ms': 7.913000002503395, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 2, 'time': '09:10:41.679855', 'finish_time': '09:10:46.890897', 'duration_ms': 5211.0419999957085, 'coll': 'send'}
[94m{'rank': 0, 'backend': 1, 'index': 3, 'time': '09:10:46.892956', 'finish_time': '09:10:46.916461', 'duration_ms': 23.50499999523163, 'coll': 'send'}
[92m{'rank': 0, 'backend': 2, 'index': 4, 'time': '09:10:46.922316', 'finish_time': '09:10:52.207444', 'duration_ms': 5285.128000002354, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 5, 'time': '09:10:52.215164', 'finish_time': '09:10:52.216059', 'duration_ms': 0.8949999995529652, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 6, 'time': '09:10:52.226670', 'finish_time': '09:10:52.276955', 'duration_ms': 50.2850000038743, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 7, 'time': '09:10:52.244896', 'finish_time': '09:10:52.287927', 'duration_ms': 43.03099999949336, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 4, 'time': '09:10:52.292649', 'finish_time': '09:10:57.920979', 'duration_ms': 5628.329999998212, 'coll': 'send'}
[92m{'rank': 0, 'backend': 2, 'index': 8, 'time': '09:10:57.922983', 'finish_time': '09:11:03.192195', 'duration_ms': 5269.2120000086725, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 9, 'time': '09:11:03.196773', 'finish_time': '09:11:03.197436', 'duration_ms': 0.6629999987781048, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 10, 'time': '09:11:03.213005', 'finish_time': '09:11:03.287612', 'duration_ms': 74.60700000077486, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 11, 'time': '09:11:03.223956', 'finish_time': '09:11:03.297771', 'duration_ms': 73.81499999761581, 'coll': '_allgather_base'}
[94m{'rank': 0, 'backend': 1, 'index': 5, 'time': '09:11:03.303484', 'finish_time': '09:11:08.871084', 'duration_ms': 5567.60000000149, 'coll': 'send'}
[94m{'rank': 0, 'backend': 1, 'index': 6, 'time': '09:11:08.871346', 'finish_time': '09:11:08.871934', 'duration_ms': 0.5880000032484531, 'coll': 'recv'}
[92m{'rank': 0, 'backend': 2, 'index': 12, 'time': '09:11:08.876013', 'finish_time': '09:11:14.170860', 'duration_ms': 5294.846999999136, 'coll': '_allgather_base'}
[92m{'rank': 0, 'backend': 2, 'index': 13, 'time': '09:11:14.172727', 'finish_time': '09:11:14.173655', 'duration_ms': 0.9279999993741512, 'coll': '_allgather_base'}
