Time: 03:51:51, Device: rocep13s0f0, Event: error
Time: 03:51:55, Device: rocep13s0f0, Event: active
Time: 03:51:56, Device: rocep159s0f0, Event: error
Time: 03:51:58, Device: rocep159s0f1, Event: error
Time: 03:52:01, Device: rocep159s0f1, Event: active
Time: 03:52:01, Device: rocep13s0f0, Event: error
Time: 03:52:01, Device: rocep13s0f1, Event: error
Time: 03:52:04, Device: rocep13s0f0, Event: active
Time: 03:52:05, Device: rocep13s0f1, Event: active
Time: 03:52:09, Device: rocep159s0f1, Event: error
Time: 03:52:10, Device: rocep13s0f0, Event: error
Time: 03:52:10, Device: rocep13s0f1, Event: error
Time: 03:52:12, Device: rocep13s0f1, Event: active
Time: 03:52:12, Device: rocep159s0f1, Event: active
Time: 03:52:12, Device: rocep13s0f0, Event: active
Time: 03:52:13, Device: rocep13s0f0, Event: error
Time: 03:52:13, Device: rocep13s0f1, Event: error
Time: 03:52:16, Device: rocep13s0f0, Event: active
Time: 03:52:16, Device: rocep13s0f1, Event: active
Time: 03:52:19, Device: rocep159s0f0, Event: active
Time: 03:52:28, Device: rocep159s0f0, Event: error
Time: 03:52:28, Device: rocep159s0f1, Event: error
Time: 03:52:30, Device: rocep159s0f0, Event: active
Time: 03:52:31, Device: rocep159s0f1, Event: active
Time: 03:52:32, Device: rocep13s0f0, Event: error
Time: 03:52:32, Device: rocep13s0f1, Event: error
Time: 03:52:33, Device: rocep159s0f0, Event: error
Time: 03:52:33, Device: rocep159s0f1, Event: error
Time: 03:52:35, Device: rocep159s0f0, Event: active
Time: 03:52:35, Device: rocep159s0f1, Event: active
Time: 03:52:35, Device: rocep13s0f1, Event: active
Time: 03:52:35, Device: rocep13s0f0, Event: active
Time: 03:52:37, Device: rocep13s0f0, Event: error
Time: 03:52:37, Device: rocep13s0f1, Event: error
Time: 03:52:39, Device: rocep13s0f1, Event: active
Time: 03:52:39, Device: rocep13s0f0, Event: active
Time: 03:52:41, Device: rocep159s0f0, Event: error
Time: 03:52:41, Device: rocep159s0f1, Event: error
Time: 03:52:44, Device: rocep159s0f1, Event: active
Time: 03:52:44, Device: rocep159s0f0, Event: active
Time: 03:52:46, Device: rocep13s0f0, Event: error
Time: 03:52:46, Device: rocep13s0f1, Event: error
Time: 03:52:46, Device: rocep159s0f0, Event: error
Time: 03:52:46, Device: rocep159s0f1, Event: error
Time: 03:52:59, Device: rocep159s0f0, Event: active
Time: 03:52:59, Device: rocep159s0f1, Event: active
Time: 03:53:00, Device: rocep13s0f0, Event: active
Time: 03:53:00, Device: rocep13s0f1, Event: active
